nome_mesorregiao_aux,nome_microrregiao_aux,latitude,longitude
agreste potiguar,agreste potiguar,-6.133412727272727,-35.53718181818182
agreste potiguar,baixa verde,-5.48744,-35.851259999999996
agreste potiguar,borborema potiguar,-6.2180475,-35.96768125
central potiguar,angicos,-5.6299262500000005,-36.29403750000001
central potiguar,macau,-5.093708,-36.25196
central potiguar,serido ocidental,-6.549804285714286,-37.24628571428571
central potiguar,serido oriental,-6.5748109999999995,-36.72100999999999
central potiguar,serra de santana,-6.076301428571428,-36.5877
centro amazonense,coari,-3.7419599999999993,-61.80765
centro amazonense,itacoatiara,-3.1451359999999995,-58.39316
centro amazonense,manaus,-3.3989514285714284,-60.04918571428572
centro amazonense,parintins,-2.7285271428571427,-57.347
centro amazonense,rio preto da eva,-2.367155,-59.854600000000005
centro amazonense,tefe,-3.1971933333333333,-64.87776666666667
centro maranhense,alto mearim e grajau,-5.537698181818182,-45.501636363636365
centro maranhense,medio mearim,-4.4899945,-44.83630500000001
centro maranhense,presidente dutra,-5.300982727272728,-44.304145454545456
leste maranhense,baixo parnaiba maranhense,-3.1830033333333336,-42.27165
leste maranhense,caxias,-5.3484300000000005,-43.35818333333333
leste maranhense,chapadas do alto itapecuru,-6.353342307692308,-43.81395384615384
leste maranhense,chapadinha,-3.5472633333333334,-43.14208888888889
leste maranhense,codo,-4.359533333333334,-44.17661666666667
leste maranhense,coelho neto,-4.291247499999999,-43.188725000000005
leste potiguar,litoral nordeste,-5.33822,-35.537600000000005
leste potiguar,litoral sul,-6.311539,-35.157889999999995
leste potiguar,macaiba,-5.891357999999999,-35.30928
leste potiguar,natal,-5.802053333333333,-35.25813333333333
norte amazonense,japura,-1.86775,-66.25105
norte amazonense,rio negro,-1.0374142499999999,-63.991925
norte maranhense,aglomeracao urbana de sao luis,-2.5069375,-44.135349999999995
norte maranhense,baixada maranhense,-3.0894147619047616,-45.02010476190476
norte maranhense,itapecuru mirim,-3.54495875,-44.242175
norte maranhense,lencois maranhenses,-2.6409366666666663,-42.95843333333334
norte maranhense,litoral ocidental maranhense,-2.1153153846153847,-44.77846923076922
norte maranhense,rosario,-2.9195087499999994,-44.1453375
norte piauiense,baixo parnaiba piauiense,-3.916253333333334,-42.3466
norte piauiense,litoral piauiense,-3.3547828571428573,-41.695142857142855
oeste maranhense,gurupi,-1.8191078571428574,-45.87802142857144
oeste maranhense,imperatriz,-5.4245350000000006,-47.4353625
oeste maranhense,pindare,-3.789440909090909,-45.6735
oeste potiguar,chapada do apodi,-5.6197425,-37.63975
oeste potiguar,medio oeste,-5.868226666666668,-37.29656666666666
oeste potiguar,mossoro,-5.033545,-37.254533333333335
oeste potiguar,pau dos ferros,-6.105081764705882,-38.09534705882353
oeste potiguar,serra de sao miguel,-6.246747777777777,-38.38118888888889
oeste potiguar,umarizal,-6.10899090909091,-37.80213636363636
oeste potiguar,vale do acu,-5.497265555555555,-36.84486666666666
sudeste piauiense,alto medio caninde,-7.790279743589745,-41.4678641025641
sudeste piauiense,picos,-6.978639500000002,-41.728570000000005
sudeste piauiense,pio ix,-7.018671428571429,-40.94252857142857
sudoeste amazonense,alto solimoes,-3.4533466666666666,-68.43624444444445
sudoeste amazonense,jurua,-6.21215,-69.34321428571428
sudoeste piauiense,alto medio gurgueia,-9.275816363636364,-44.64980909090909
sudoeste piauiense,alto parnaiba piauiense,-7.939315,-45.23325
sudoeste piauiense,bertolinia,-7.560622222222223,-43.950155555555554
sudoeste piauiense,chapadas do extremo sul piauiense,-10.271567777777777,-44.57426666666667
sudoeste piauiense,floriano,-7.396838333333332,-43.02261666666667
sudoeste piauiense,sao raimundo nonato,-8.936794117647059,-42.85631764705882
sul amazonense,boca do acre,-8.227715,-67.19195
sul amazonense,madeira,-6.005578,-60.83576000000001
sul amazonense,purus,-6.470266666666667,-64.12363333333333
sul maranhense,chapadas das mangabeiras,-7.0525375,-45.303862499999994
sul maranhense,gerais de balsas,-7.884868,-46.20444
sul maranhense,porto franco,-6.614846666666666,-47.20941666666667
vale do acre,brasileia,-10.8988,-68.888625
vale do acre,rio branco,-10.02768,-67.54051428571428
vale do acre,sena madureira,-9.115129999999999,-69.47173333333335
vale do jurua,cruzeiro do sul,-8.037007999999998,-72.75793999999999
vale do jurua,tarauaca,-8.58614,-71.00686666666667
